Open-time              Open          High           Low         Close        Volume Close-time      QuoteVolume       #Trades  #BasedVolume #QuotedVolume 
1617458640000 2115.41000000 2115.67000000 2113.23000000 2113.63000000  294.77962000 1617458699999 623269.15706450           617  144.55164000 305642.98049230             0 
1617458700000 2113.46000000 2113.60000000 2112.18000000 2113.22000000  364.31022000 1617458759999 769674.39957790           711  112.15673000 236977.05103980             0 
1617458760000 2113.22000000 2115.21000000 2113.06000000 2114.81000000  290.46247000 1617458819999 614145.37028990           539  182.66216000 386211.26055070             0 
1617458820000 2114.68000000 2115.00000000 2113.36000000 2114.65000000  355.99248000 1617458879999 752600.77910560           596  129.74081000 274308.95748280             0 
1617458880000 2114.64000000 2115.20000000 2114.27000000 2115.01000000  316.39309000 1617458939999 669090.40722900           633  150.76385000 318828.75872460             0 
1617458940000 2115.02000000 2115.02000000 2113.07000000 2114.31000000  412.42526000 1617458999999 871943.63511170           733  130.11256000 275052.29260850             0 
1617459000000 2114.31000000 2114.32000000 2113.09000000 2113.25000000  177.96070000 1617459059999 376090.89457490           443   99.49551000 210268.13844120             0 
1617459060000 2113.25000000 2113.25000000 2110.65000000 2111.00000000  462.91096000 1617459119999 977665.20912520           787  292.21816000 617145.86187420             0 
1617459120000 2110.99000000 2111.46000000 2108.80000000 2108.97000000  536.87317000 1617459179999 1132786.97254850           561  303.56139000 640461.73240350             0 
1617459180000 2108.96000000 2111.44000000 2108.96000000 2110.93000000  711.27113000 1617459239999 1501192.42868910           670  306.06183000 645852.79949770             0 
1617459240000 2110.93000000 2110.94000000 2109.02000000 2110.03000000  257.31559000 1617459299999 542927.75250800           499  176.05543000 371479.54800350             0 
1617459300000 2110.04000000 2110.04000000 2109.23000000 2110.02000000  323.33517000 1617459359999 682183.83537890           527  189.02573000 398808.13224570             0 
1617459360000 2110.00000000 2110.54000000 2110.00000000 2110.08000000  310.05810000 1617459419999 654277.40674650           406  133.38344000 281465.61605240             0 
1617459420000 2110.08000000 2111.00000000 2110.07000000 2110.43000000  652.32165000 1617459479999 1376743.52959200           789  348.69461000 735926.08129460             0 
1617459480000 2110.43000000 2110.85000000 2110.43000000 2110.67000000  219.11551000 1617459539999 462460.10001130           366   54.03342000 114042.66313250             0 
1617459540000 2110.66000000 2111.76000000 2110.58000000 2110.78000000  435.71037000 1617459599999 919757.16455810           731  237.26088000 500840.58295960             0 
1617459600000 2110.79000000 2112.01000000 2110.58000000 2111.87000000  280.55927000 1617459659999 592291.28706990           542  161.15856000 340246.99254850             0 
1617459660000 2112.02000000 2112.63000000 2106.91000000 2107.00000000 1982.19527000 1617459719999 4183265.71061730          1023  314.25859000 663190.18466620             0 
1617459720000 2107.00000000 2110.43000000 2106.91000000 2107.12000000  622.66961000 1617459779999 1312850.02106450           586  322.65183000 680313.30036430             0 
1617459780000 2107.11000000 2107.12000000 2106.27000000 2106.38000000  593.85825000 1617459839999 1251023.77355540           772  229.25371000 482960.15176320             0 
1617459840000 2106.38000000 2108.82000000 2106.17000000 2108.00000000  759.15555000 1617459899999 1600012.95658010           597  247.25430000 521117.56422540             0 
1617459900000 2107.99000000 2109.30000000 2107.95000000 2108.80000000  590.27705000 1617459959999 1244651.46145600           574  204.55954000 431248.32319500             0 
1617459960000 2108.80000000 2110.66000000 2108.80000000 2110.09000000  463.89398000 1617460019999 978875.33407470           655  114.23288000 241019.57700430             0 
1617460020000 2110.22000000 2110.22000000 2108.38000000 2108.56000000  522.04015000 1617460079999 1101115.47198840           692  106.95254000 225538.87895360             0 
1617460080000 2108.56000000 2110.84000000 2107.69000000 2110.39000000  692.51402000 1617460139999 1460732.18922990           610  301.47747000 635776.90458840             0 
1617460140000 2110.39000000 2110.39000000 2108.21000000 2108.21000000  415.26576000 1617460199999 876004.64921560           828  249.81977000 526992.66816090             0 
1617460200000 2108.21000000 2110.66000000 2107.94000000 2109.55000000  576.32668000 1617460259999 1215815.36052660           787  406.82239000 858249.31349400             0 
1617460260000 2109.55000000 2110.48000000 2108.66000000 2108.91000000  633.05018000 1617460319999 1335367.06533580           803  370.53413000 781656.66561550             0 
1617460320000 2109.02000000 2109.88000000 2108.80000000 2109.13000000  293.93971000 1617460379999 619992.53452450           482  122.90973000 259244.74838480             0 
1617460380000 2109.08000000 2109.99000000 2108.86000000 2109.94000000  217.04404000 1617460439999 457784.72199210           457   94.96906000 200321.14510800             0 
1617460440000 2109.74000000 2109.96000000 2109.00000000 2109.16000000  210.64168000 1617460499999 444316.88972430           520   97.51200000 205700.08733690             0 
1617460500000 2109.16000000 2109.34000000 2108.37000000 2108.43000000  206.06046000 1617460559999 434530.98530010           600  116.78489000 246263.65449800             0 
1617460560000 2108.43000000 2108.43000000 2105.49000000 2105.79000000  432.01479000 1617460619999 910141.68709030           583  152.26439000 320747.38407820             0 
1617460620000 2105.69000000 2105.96000000 2103.85000000 2104.32000000  373.94817000 1617460679999 787327.91215010           608  110.65497000 232947.21924990             0 
1617460680000 2104.10000000 2104.88000000 2103.94000000 2104.46000000  263.45864000 1617460739999 554427.60024010           429   63.97587000 134636.21330670             0 
